Date,daily_return,cumulative_return,running_max,drawdown
2023-01-03,-0.0017470016775528248,0.9982529983224472,0.9982529983224472,0.0
2023-01-04,-0.015884547182206,0.9823962014708156,0.9982529983224472,-0.015884547182206
2023-01-05,-0.00040066952715020005,0.9820025852492982,0.9982529983224472,-0.016278852255347753
2023-01-06,-0.0018812449251291753,0.9801551978693341,0.9982529983224472,-0.018129472672284708
2023-01-09,0.0148320851998141,0.9946929432731727,0.9982529983224472,-0.003566285355773635
2023-01-10,-0.014180966536472025,0.980587235930551,0.9982529983224472,-0.017696678518955955
2023-01-11,-0.0004933727506093001,0.9801034409087475,0.9982529983224472,-0.01818132021060781
2023-01-12,-0.003943311295409075,0.9762385879395428,0.9982529983224472,-0.022052936900664788
2023-01-13,0.0028491022828592,0.9790199915290565,0.9982529983224472,-0.019266665690673146
2023-01-16,-4.2814038781399926e-05,0.9789780757291714,0.9982529983224472,-0.01930865484568245
2023-01-17,0.01111746462912705,0.9898618298587812,0.9982529983224472,-0.008405853503838379
2023-01-18,0.006763419090237375,0.9965566802555456,0.9982529983224472,-0.0016992867236584885
2023-01-19,-0.002148539584183225,0.9944155387801342,0.9982529983224472,-0.0038441753230511466
2023-01-20,-0.0007357722839449249,0.9936838753879756,0.9982529983224472,-0.004577119169338784
2023-01-23,0.006597307954506675,1.0002395139233378,1.0002395139233378,0.0
2023-01-24,0.0033890426069911996,1.00362936825322,1.00362936825322,0.0
2023-01-25,-0.011576660603814825,0.9920106916849314,1.00362936825322,-0.011576660603814792
2023-01-27,-0.008614175011250974,0.9834653379737253,1.00362936825322,-0.020091112234578712
2023-01-30,0.004507268605336175,0.9878980804160106,1.00362936825322,-0.015674399668663686
2023-01-31,0.0023791628454546496,0.9902484508240322,1.00362936825322,-0.013332528772525665
2023-02-01,0.0115172221202623,1.0016533621864183,1.00362936825322,-0.0019688603475612743
2023-02-02,0.012059723488054525,1.0137330247652667,1.0137330247652667,0.0
2023-02-03,0.01269028247318745,1.0265975832019365,1.0265975832019365,0.0
2023-02-06,-0.00575919875185195,1.0206852036821057,1.0265975832019365,-0.005759198751851935
2023-02-07,-0.0080342764503995,1.0124847365868914,1.0265975832019365,-0.013747204207346209
2023-02-08,0.010999228448715325,1.023621287505448,1.0265975832019365,-0.0028991843982385523
2023-02-09,0.0032142911457623256,1.0269115043464905,1.0269115043464905,0.0
2023-02-10,-0.0043100551266724504,1.022485459152543,1.0269115043464905,-0.004310055126672485
2023-02-13,-0.0057034839382181495,1.0166537297592049,1.0269115043464905,-0.009988956734702792
2023-02-14,0.02050441520275475,1.0374996199516169,1.0374996199516169,0.0
2023-02-15,0.0030000673379494505,1.0406121886745687,1.0406121886745687,0.0
2023-02-16,-0.00012835947029885,1.040478616245244,1.0406121886745687,-0.00012835947029887773
2023-02-17,-0.00246395624911455,1.0379149224566764,1.0406121886745687,-0.0025919994472944907
2023-02-20,-0.0032016774475529253,1.0345918536569683,1.0406121886745687,-0.0057853781486728595
2023-02-21,-0.00022759541612694988,1.0343563852935136,1.0406121886745687,-0.006011656839252644
2023-02-22,-0.0123288758616018,1.0216039338225746,1.0406121886745687,-0.018266415729960794
2023-02-23,-0.0022283658945583254,1.0193274264586978,1.0406121886745687,-0.020454077366690693
2023-02-24,-0.0021397189325220623,1.017146352265865,1.0406121886745687,-0.022550030322624037
2023-02-27,-0.009590031357775424,1.0073918868521885,1.0406121886745687,-0.03192380618248669
2023-02-28,-0.010931540971318425,0.99637954116689,1.0406121886745687,-0.042506370758560896
2023-03-01,0.004811733036126425,1.0011738535216432,1.0406121886745687,-0.03789916703085927
2023-03-02,-0.010104820892889674,0.9910571710491629,1.0406121886745687,-0.047621023628912296
2023-03-03,0.018812836401011626,1.0097017674721602,1.0406121886745687,-0.029704073754680094
2023-03-06,0.01104115483312135,1.0208500410220966,1.0406121886745687,-0.018990886199058643
2023-03-08,0.0016882521765596748,1.0225734933257933,1.0406121886745687,-0.017334695427459246
2023-03-09,-0.011167495327430025,1.0111539086171237,1.0406121886745687,-0.028308605624700722
2023-03-10,-0.01149160708243735,0.999534125199425,1.0406121886745687,-0.03947490133424736
2023-03-13,-0.0162699517950881,0.9832717531648848,1.0406121886745687,-0.0551025983875113
2023-03-14,-0.00680949069526095,0.9765761733107956,1.0406121886745687,-0.06153686845176787
2023-03-15,-0.008119839910861225,0.9686465311227506,1.0406121886745687,-0.06915703884218483
2023-03-16,-0.001012239237628,0.9676660290965559,1.0406121886745687,-0.07009927461153864
2023-03-17,0.002117031140858225,0.9697146082141039,1.0406121886745687,-0.06813064581798456
2023-03-20,-0.0050266979692226745,0.9648401457622685,1.0406121886745687,-0.07281487160823219
2023-03-21,0.007079876339286449,0.9716710946814445,1.0406121886745687,-0.06625051555559303
2023-03-22,0.000452228497090925,0.972110512040259,1.0406121886745687,-0.06582824742958326
2023-03-23,-0.00589556581500225,0.9663793705370701,1.0406121886745687,-0.07133571847937814
2023-03-24,-0.005520387101795975,0.9610445823245156,1.0406121886745687,-0.07646230480098315
2023-03-27,0.007468613159619175,0.9682222525390451,1.0406121886745687,-0.06956475901721548
2023-03-28,0.0008623413765493249,0.9690571906491054,1.0406121886745687,-0.06876240621071628
2023-03-29,0.00277808989441125,0.9717493186375542,1.0406121886745687,-0.0661753444621146
2023-03-31,0.02271607281989335,0.9938236469224067,1.0406121886745687,-0.04496251558590414
2023-04-03,-0.005794281133896525,0.9880651533146239,1.0406121886745687,-0.050496271264008796
2023-04-05,0.0133042872369776,1.00121065592317,1.0406121886745687,-0.03786380092432384
2023-04-06,0.003906423136794775,1.0051218083942737,1.0406121886745687,-0.03410528981550687
2023-04-10,-0.00118097557830875,1.0039347840853345,1.0406121886745687,-0.03524598787945232
