return,volatility,sharpe,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS
0.0008095680017085917,0.14198445677711302,0.005701807226543468,0.12391775649494091,0.285971117260705,0.27722372233039716,0.3128874039139569
0.0056623352206410515,0.14692920537343515,0.03853784689197539,0.5486885025523542,0.01853288764196266,0.3441791194126531,0.08859949039302999
0.015727087058473956,0.14084551783826024,0.11166196340400505,0.31989415624189727,0.06659515403022434,0.26797615162168886,0.3455345381061895
-0.020041128993185633,0.15318390486406563,-0.1308305138909339,0.13172659382000737,0.4547252910411388,0.32065952685388954,0.0928885882849642
-0.017078024139651458,0.16660116018700316,-0.10250843463804248,0.019879716614384313,0.15916419016760716,0.8208971557358681,5.8937482140418276e-05
0.006232360689155773,0.138633583031999,0.044955634506808055,0.19466086013241443,0.21009078182687527,0.268042544481733,0.3272058135589773
0.005800916193878115,0.15986293515190422,0.036286811501152504,0.1622309575603882,0.37889138758613616,0.02773630107430069,0.43114135377917506
-0.008089227973883279,0.15629558183332093,-0.051755960590811285,0.12724531261855837,0.44922846861206,0.15058184585358386,0.27294437291579776
0.0022254649267924274,0.1409171646108312,0.015792717182030024,0.20856897392858567,0.2774086183069626,0.21255315619983356,0.30146925156461823
0.007529364174198385,0.1470628478778359,0.05119827531459867,0.31465320737105473,0.2670630108857981,0.07720020067723901,0.34108358106590814
0.0016609263343692997,0.13978147156383589,0.011882306830707403,0.21553685456262228,0.26995481831168305,0.2283312774887595,0.28617704963693513
0.009399924333219014,0.1537512879400034,0.06113720710350757,0.15939583278958605,0.3130864003430662,0.07959963030807066,0.4479181365592771
0.005017776162967353,0.14082348878340026,0.035631670585048236,0.3475643685498766,0.03029671109980778,0.4701114348333155,0.1520274855170001
0.01158545887428111,0.14093963268052573,0.08220156852928938,0.15506179074503185,0.09124399863618615,0.4022746090765371,0.35141960154224494
0.012478486804477683,0.14194706872098584,0.08790943636184316,0.40706142526154127,0.013266135269153833,0.34381876308700193,0.235853676382303
0.01236817853719385,0.1499474982257448,0.08248339374474693,0.5047658838597993,0.14983567733857475,0.06266614462607233,0.2827322941755537
-0.011271381960090383,0.13823925476971827,-0.08153532062124089,0.2624729573890941,0.28645121679734636,0.3673562792520372,0.08371954656152247
-0.0009999828304337356,0.13631243758945924,-0.007335961766346274,0.20831998888183267,0.2329465619788418,0.3325428256719453,0.22619062346738014
-0.00680902852414495,0.1526270123168927,-0.044612211303774095,0.2258599816567681,0.41760160660473233,0.11531613826461581,0.24122227347388364
-0.009082990446206543,0.14164606608487515,-0.0641245514066304,0.12003389563478901,0.3144860030142034,0.3849515388494591,0.1805285625015487
0.018379772693844255,0.1460618551489046,0.12583554190179747,0.14048471977409027,0.11477991038768472,0.2712304352686335,0.47350493456959153
-0.0014459135597795804,0.13823849613073,-0.010459557939723262,0.4002279103431561,0.22016776932795526,0.2309948413413937,0.14860947898749505
-0.008419081682846854,0.14182062362684306,-0.05936429743109192,0.2878203287560074,0.3366169009497349,0.22713973055528403,0.14842303973897367
0.0016238858297209936,0.13549812851968074,0.011984562794054595,0.28409353000618753,0.20117764020616494,0.2923754890458322,0.22235334074181518
-0.027203049826613934,0.17101037338893946,-0.15907251289805885,0.05523394147553724,0.579362263776763,0.2825670375419613,0.08283675720573842
0.004609711382827075,0.14701965915898316,0.031354387632216284,0.41816001228108374,0.25551647006064515,0.07059473944054616,0.25572877821772494
-0.012209224187422818,0.14011567924542073,-0.08713674481809887,0.2083623186554068,0.2306370553077182,0.5067205015272892,0.05428012450958585
-0.01690993510228093,0.14831917727529098,-0.11401044297120719,0.10871936652676852,0.3982086647656815,0.37838394668088665,0.11468802202666324
-0.020545926828819325,0.1790930333882221,-0.11472208851520022,0.24819917497480948,0.6053967593426496,0.010484676523339512,0.1359193891592015
